ID,NAME,
3731581,里约大冒险,
1309101,查理和巧克力工厂,
4066206,全城热恋,
3626416,十月围城,
6799191,搜索,
2336785,爱丽丝梦游仙境,
3158990,海角七号,
3610047,变形金刚3,
3596502,唐山大地震,
5344178,11度青春之《老男孩》,
6890730,寒战,
3737102,艋舺,
5045678,大鱼海棠,
21360417,恐怖直播,
3592853,饥饿游戏,
1307811,魔女宅急便,
3227410,加勒比海盗4：惊涛怪浪,
1292287,新龙门客栈,
6860160,悲惨世界,
6390823,美国队长2,
3041806,叶问,
1308857,可可西里,
1297518,九品芝麻官,
3231742,钢铁侠3,
21937445,辩护人,
1418192,加勒比海盗3：世界的尽头,
25820460,美国队长3,
6982558,长城,
4151110,山楂树之恋,
1293351,食神,
10741834,复仇者联盟2：奥创纪元,
25801066,西游伏妖篇,
1305690,阿飞正传,
1858711,玩具总动员3,
25710912,港囧,
5977835,桃姐,
1578714,神奇女侠,
24745500,绣春刀,
1433360,雏菊,
10807909,智取威虎山,
1291585,风之谷,
5350027,妖猫传,
25895276,煎饼侠,
6730004,爱,
1293359,菊次郎的夏天,
2998270,大侦探福尔摩斯,
24743711,催眠大师,
1961963,长江七号,
4896263,将爱情进行到底,
3442220,海豚湾,
26289144,滚蛋吧！肿瘤君,
10577869,时空恋旅人,
4807924,泰迪熊,
1959877,悬崖上的金鱼姬,
4136036,晚秋,
3771562,普罗米修斯,
2132495,朱诺,
3789848,怪兽大学,
3168089,X战警：第一战,
1937946,穿越时空的少女,
7054604,变形金刚4：绝迹重生,
1297574,英雄本色,
4212172,十二生肖,
25937854,银河护卫队2,
1793491,美食总动员,
21324900,降临,
1306612,蜘蛛侠,
1329936,大内密探零零发,
1866473,蚁人,
3820191,杜拉拉升职记,
25786060,X战警：天启,
1293172,末代皇帝,
24751763,罗曼蒂克消亡史,
3230459,李米的猜想,
1297052,侧耳倾听,
25798448,解救吾先生,
3412882,窃听风云,
2124703,疯狂的赛车,
1885124,时间旅行者的妻子,
25870084,重返20岁,
1307739,国产凌凌漆,
4896304,龙门飞甲,
21937452,素媛,
10605978,私人订制,
4709904,前度,
1307106,无间道2,
1418070,如果·爱,
4876722,钢的琴,
21352814,归来,
1297747,少林足球,
24879858,分手大师,
1292275,罗拉快跑,
1308804,我脑中的橡皮擦,
1433330,哈利·波特与混血王子,
3003830,恋空,
1981242,午夜巴塞罗那,
3148027,暮光之城2：新月,
25980443,海边的曼彻斯特,
3066739,钢铁侠2,
2131940,魔兽,
2363876,007：大破天幕杀机,
1292434,一一,
3240208,非常完美,
26270502,绣春刀II：修罗战场,
1297570,变相怪杰,
4218768,画皮2,
6126442,一步之遥,
25662327,火锅英雄,
10741643,我的个神啊,
1418752,万能钥匙,
21941804,白日焰火,
10777687,7号房的礼物,
3007773,海盗电台,
4848115,你看起来好像很好吃,
11589036,功夫熊猫3,
5422105,窃听风云2,
1295409,纵横四海,
2357162,冰川时代3,
3071441,雪国列车,
3148748,海扁王,
1308741,独自等待,
5989818,萤火之森,
24753477,蜘蛛侠：英雄归来,
3718279,死侍,
1972729,铁甲钢拳,
1308820,花与爱丽丝,
1329562,头文字D,
7046723,猩球崛起2：黎明之战,
4059245,观音山,
1437342,冰川时代2：融冰之灾,
3077791,在云端,
26811587,大护法,
1297863,武状元苏乞儿,
4206357,龙纹身的女孩,
1291575,玩具总动员,
3412830,狄仁杰之通天帝国,
26378579,王牌特工2：黄金圈,
1297223,鹿鼎记,
4206436,战马,
1306160,新警察故事,
6011806,厨子戏子痞子,
24843198,同桌的妳,
1835843,博物馆奇妙夜,
1303021,小鞋子,
1295250,X战警,
1303173,甲方乙方,
1484091,水果硬糖,
2213591,重返十七岁,
1792928,金刚狼,
1308865,老男孩,
25917973,心迷宫,
6041191,听风者,
1299288,胭脂扣,
25884801,记忆大师,
2129132,超凡蜘蛛侠,
1292219,关于莉莉周的一切,
4914468,冰川时代4,
1927686,爱情呼叫转移,
6873143,一条狗的使命,
26280528,从你的全世界路过,
1308777,暖暖内含光,
2138838,美国队长,
3578981,叶问2：宗师传奇,
1305265,河东狮吼,
1302476,麦兜故事,
1306123,英雄,
25769362,哆啦A梦：伴我同行,
1291555,2046,
4051753,大侦探福尔摩斯2：诡影游戏,
3642843,星际迷航2：暗黑无界,
20438962,鸟人,
1890784,门徒,
1291577,超人总动员,
1307694,无间道3：终极无间,
11510624,全民目击,
1307023,神话,
26816383,喜欢你,
26322792,北京遇上西雅图之不二情书,
25724855,房间,
